conversation_id_str,created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,username,sentiment
1830032750390514067,Sat Aug 31 23:59:42 +0000 2024,1,𝐎𝐦𝐛𝐮𝐝𝐬𝐦𝐚𝐧 𝐑𝐈 𝐀𝐣𝐚𝐤 𝐒𝐞𝐦𝐮𝐚 𝐏𝐢𝐡𝐚𝐤 𝐁𝐚𝐧𝐠𝐮𝐧 𝐈𝐊𝐍 𝐃𝐞𝐧𝐠𝐚𝐧 𝐌𝐚𝐤𝐬𝐢𝐦𝐚𝐥. Fufufafa EH KOCAK malming Purwokerto Kaskus https://t.co/RGiVo9mvcv,,0,0,1,https://x.com/atikacaamelia/status/1830032750390514067,atikacaamelia,neutral
1829765153862402327,Sat Aug 31 23:59:12 +0000 2024,0,@SanieUye @KataNetizen @kangdede78 Gw pendukung 02. Tp akun fufufafa emg cocok bgt sama gibran eh pas ku selamin,SanieUye,0,0,0,https://x.com/sang_allam/status/1830032625681215550,sang_allam,neutral
1830032558719189336,Sat Aug 31 23:58:57 +0000 2024,0,𝐁𝐚𝐥𝐢𝐤𝐩𝐚𝐩𝐚𝐧 𝐒𝐞𝐛𝐚𝐠𝐚𝐢 𝐊𝐨𝐭𝐚 𝐏𝐞𝐧𝐲𝐚𝐧𝐠𝐠𝐚 𝐈𝐊𝐍 𝐓𝐮𝐫𝐮𝐭 𝐌𝐞𝐧𝐢𝐤𝐦𝐚𝐭𝐢 𝐏𝐞𝐫𝐭𝐮𝐦𝐛𝐮𝐡𝐚𝐧 𝐄𝐤𝐨𝐧𝐨𝐦𝐢 Wasit Fufufafa Purwokerto Kaskus malming https://t.co/NDnsKr5k3x,,0,0,1,https://x.com/AdinAlfani/status/1830032558719189336,AdinAlfani,neutral
1830032381983776901,Sat Aug 31 23:58:14 +0000 2024,0,Fufufafa woy bukan fafafufu ,,0,0,0,https://x.com/XOPwibu/status/1830032381983776901,XOPwibu,neutral
1830032367958048774,Sat Aug 31 23:58:11 +0000 2024,0,𝐏𝐞𝐦𝐢𝐧𝐝𝐚𝐡𝐚𝐧 𝐈𝐛𝐮 𝐊𝐨𝐭𝐚 𝐍𝐞𝐠𝐚𝐫𝐚 𝐌𝐞𝐧𝐮𝐣𝐮 𝐈𝐊𝐍 𝐃𝐢𝐛𝐚𝐠𝐢 𝐌𝐞𝐧𝐣𝐚𝐝𝐢 𝟒 𝐓𝐚𝐡𝐚𝐩. Fufufafa Partai Perubahan Indonesia Malam Minggu Purwokerto https://t.co/pxluY9nCqg,,0,0,1,https://x.com/SbywibowoMega/status/1830032367958048774,SbywibowoMega,neutral
1829725843599606018,Sat Aug 31 23:58:05 +0000 2024,5,@ainunnajib Kalau pernah ngaskus pasti tau udah jelas dia. Apalagi mainnya di subforum yang sama 1. Dari mana dia tau akun raka gnarly tidak bisa log in lupa password? 2. Kalau cuma klaim dan akun aslinya muncul fufufafa habis 3. Buat apa ngeklaim sebagai raka gnarly?,ainunnajib,0,1,0,https://x.com/MRifaiTamam/status/1830032343241028022,MRifaiTamam,positive
1830032199900676334,Sat Aug 31 23:57:31 +0000 2024,0,𝐀𝐮𝐭𝐨𝐧𝐨𝐦𝐨𝐮𝐬 𝐑𝐚𝐢𝐥 𝐓𝐫𝐚𝐧𝐬𝐢𝐭 𝐌𝐞𝐧𝐣𝐚𝐝𝐢 𝐌𝐨𝐝𝐚 𝐓𝐫𝐚𝐧𝐬𝐩𝐨𝐫𝐭𝐚𝐬𝐢 𝐌𝐚𝐬𝐬𝐚𝐥 𝐈𝐊𝐍. Fufufafa Purwokerto Wasit Kaskus sanggup https://t.co/neaWqnNmjb,,0,0,1,https://x.com/ArmadaaDwi/status/1830032199900676334,ArmadaaDwi,neutral
1830032196465459274,Sat Aug 31 23:57:30 +0000 2024,0,Semoga besok mayor Teddy sigap melindungi Pak Praroro dr Fufufafa,,0,0,0,https://x.com/doer_AlX/status/1830032196465459274,doer_AlX,neutral
1830031992907579443,Sat Aug 31 23:56:42 +0000 2024,0,𝟐𝟏 𝐓𝐨𝐰𝐞𝐫 𝐑𝐮𝐬𝐮𝐧 𝐀𝐒𝐍 𝐃𝐢 𝐈𝐊𝐍 𝐃𝐢𝐭𝐚𝐫𝐠𝐞𝐭𝐤𝐚𝐧 𝐀𝐤𝐚𝐧 𝐑𝐚𝐦𝐩𝐮𝐧𝐠 𝐎𝐤𝐭𝐨𝐛𝐞𝐫 𝟐𝟎𝟐𝟒. Malam Minggu Fufufafa Purwokerto malming https://t.co/R4SPU6p75z,,0,0,1,https://x.com/ProTunaa/status/1830031992907579443,ProTunaa,neutral
1830031882773536908,Sat Aug 31 23:56:15 +0000 2024,0,tidak terdebunk jg kalo fufufafa bukan gibran-jadi it is what it is,,0,1,0,https://x.com/_kobok/status/1830031882773536908,_kobok,neutral
